Step,Loss,Epoch
0,4.663729667663574,1
100,4.492183208465576,1
200,4.480172634124756,1
300,4.4790520668029785,1
400,4.47905158996582,1
500,4.4660162925720215,1
600,4.457468509674072,1
700,4.457576751708984,1
800,4.45137882232666,1
900,4.45137882232666,1
1000,4.451384544372559,1
1100,4.45137882232666,1
1200,4.45137882232666,1
1300,4.451380252838135,1
1400,4.45137882232666,1
1500,4.45137882232666,1
1600,4.45137882232666,1
1700,4.45137882232666,1
1800,4.451517105102539,1
1900,4.45137882232666,1
2000,4.450222969055176,1
2100,4.450222969055176,1
2200,4.450222969055176,1
2300,4.450222969055176,1
2400,4.450222969055176,1
2500,4.450222969055176,1
2600,4.450222492218018,1
2700,4.450222969055176,1
2800,4.442815780639648,2
2900,4.442873477935791,2
3000,4.44281530380249,2
3100,4.442814826965332,2
3200,4.442814826965332,2
3300,4.44281530380249,2
3400,4.442814826965332,2
3500,4.44281530380249,2
3600,4.44281530380249,2
3700,4.442814826965332,2
3800,4.44281530380249,2
3900,4.442815780639648,2
4000,4.442814826965332,2
4100,4.442814826965332,2
4200,4.44281530380249,2
4300,4.44281530380249,2
4400,4.442814826965332,2
4500,4.442814826965332,2
4600,4.442814826965332,2
4700,4.442814826965332,2
4800,4.442814826965332,2
4900,4.442814826965332,2
5000,4.442814826965332,2
5100,4.442814826965332,2
5200,4.435352325439453,2
5300,4.435351848602295,2
5400,4.435351848602295,2
5500,4.435351848602295,2
5600,4.435351848602295,3
5700,4.435351848602295,3
5800,4.435351848602295,3
5900,4.435351848602295,3
6000,4.435351848602295,3
6100,4.435351848602295,3
6200,4.435353755950928,3
6300,4.435352325439453,3
6400,4.435351848602295,3
6500,4.435351848602295,3
6600,4.435352325439453,3
6700,4.435351848602295,3
6800,4.435351848602295,3
6900,4.435351848602295,3
7000,4.435351848602295,3
7100,4.435351848602295,3
7200,4.435351848602295,3
7300,4.435351848602295,3
7400,4.435351848602295,3
7500,4.435351848602295,3
7600,4.435351848602295,3
7700,4.435351848602295,3
7800,4.435354232788086,3
7900,4.435352325439453,3
8000,4.435351848602295,3
8100,4.435351848602295,3
8200,4.4353532791137695,3
8300,4.435351848602295,3
8400,4.435351848602295,4
8500,4.435351848602295,4
8600,4.435352325439453,4
8700,4.435351848602295,4
8800,4.435449600219727,4
8900,4.435351848602295,4
9000,4.435351848602295,4
9100,4.435351848602295,4
9200,4.435351848602295,4
9300,4.435351848602295,4
9400,4.435351848602295,4
9500,4.435351848602295,4
9600,4.435351848602295,4
9700,4.435351848602295,4
9800,4.435352325439453,4
9900,4.435351848602295,4
10000,4.435351848602295,4
10100,4.435351848602295,4
10200,4.435351848602295,4
10300,4.435351848602295,4
10400,4.435351848602295,4
10500,4.435351848602295,4
10600,4.435351848602295,4
10700,4.435351848602295,4
10800,4.435351848602295,4
10900,4.435351848602295,4
11000,4.435351848602295,4
11100,4.435351848602295,4
11200,4.435351848602295,5
11300,4.435352802276611,5
11400,4.435351848602295,5
11500,4.435351848602295,5
11600,4.435351848602295,5
11700,4.435351848602295,5
11800,4.435351848602295,5
11900,4.435351848602295,5
12000,4.435351848602295,5
12100,4.435351848602295,5
12200,4.435351848602295,5
12300,4.435351848602295,5
12400,4.435351848602295,5
12500,4.435351848602295,5
12600,4.435351848602295,5
12700,4.435351848602295,5
12800,4.435351848602295,5
12900,4.435351848602295,5
13000,4.435351848602295,5
13100,4.435351848602295,5
13200,4.435351848602295,5
13300,4.435351848602295,5
13400,4.435351848602295,5
13500,4.435351848602295,5
13600,4.435351848602295,5
13700,4.435351848602295,5
13800,4.435351848602295,5
13900,4.435351848602295,5
14000,4.435351848602295,6
14100,4.435351848602295,6
14200,4.435351848602295,6
14300,4.435351848602295,6
14400,4.435351848602295,6
14500,4.435351848602295,6
14600,4.435351848602295,6
14700,4.435351848602295,6
14800,4.435351848602295,6
14900,4.435351848602295,6
15000,4.435351848602295,6
15100,4.435351848602295,6
15200,4.435351848602295,6
15300,4.435351848602295,6
15400,4.435351848602295,6
15500,4.42783260345459,6
15600,4.42783260345459,6
15700,4.42783260345459,6
15800,4.427833080291748,6
15900,4.427833557128906,6
16000,4.42783260345459,6
16100,4.42783260345459,6
16200,4.42783260345459,6
16300,4.42783260345459,6
16400,4.42783260345459,6
16500,4.42783260345459,6
16600,4.42783260345459,6
16700,4.42783260345459,6
16800,4.42783260345459,7
16900,4.42783260345459,7
17000,4.42783260345459,7
17100,4.427832126617432,7
17200,4.42783260345459,7
17300,4.42783260345459,7
17400,4.42783260345459,7
17500,4.42783260345459,7
17600,4.421446800231934,7
17700,4.421446800231934,7
17800,4.421447277069092,7
17900,4.42144775390625,7
18000,4.421446800231934,7
18100,4.421446800231934,7
18200,4.421447277069092,7
18300,4.421446800231934,7
18400,4.421446800231934,7
18500,4.421446800231934,7
18600,4.421447277069092,7
18700,4.421446800231934,7
18800,4.421446800231934,7
18900,4.421446800231934,7
19000,4.421446800231934,7
19100,4.421446800231934,7
19200,4.421446800231934,7
19300,4.421446800231934,7
19400,4.421446800231934,7
19500,4.421446800231934,7
19600,4.421452522277832,8
19700,4.421446800231934,8
19800,4.421446800231934,8
19900,4.421447277069092,8
20000,4.421447277069092,8
20100,4.421446800231934,8
20200,4.421446800231934,8
20300,4.421446800231934,8
20400,4.421446800231934,8
20500,4.421446800231934,8
20600,4.421446800231934,8
20700,4.421446800231934,8
20800,4.421446800231934,8
20900,4.421446800231934,8
21000,4.421448230743408,8
21100,4.421448230743408,8
21200,4.421446800231934,8
21300,4.421446800231934,8
21400,4.421446800231934,8
21500,4.421446800231934,8
21600,4.421446800231934,8
21700,4.421446800231934,8
21800,4.421446800231934,8
21900,4.421446800231934,8
22000,4.421446800231934,8
22100,4.421447277069092,8
22200,4.421446800231934,8
22300,4.421446800231934,8
22400,4.421446800231934,9
22500,4.421446800231934,9
22600,4.421446800231934,9
22700,4.421446800231934,9
22800,4.421447277069092,9
22900,4.421446800231934,9
23000,4.421446800231934,9
23100,4.421446800231934,9
23200,4.421446800231934,9
23300,4.421446800231934,9
23400,4.421446800231934,9
23500,4.421446800231934,9
23600,4.421445369720459,9
23700,4.421446800231934,9
23800,4.421446800231934,9
23900,4.421446800231934,9
24000,4.421446800231934,9
24100,4.421447277069092,9
24200,4.421446800231934,9
24300,4.421446800231934,9
24400,4.421446800231934,9
24500,4.421446800231934,9
24600,4.421446800231934,9
24700,4.421446800231934,9
24800,4.421446800231934,9
24900,4.421446800231934,9
25000,4.421446800231934,9
